Date,HStart,HEnd,Matière,Type,Location,Groupe,Enseignant,,,,,,,
2023-12-06:,15:30:00,18:30:00,Archi-Rés1,TP1,B8,1ATP1,BROS LAURENT,,(Updated,09/11/2023 11,19),,,
2023-10-24:,06:00:00,08:00:00,Syst1,TDB,B3,1ATDB,JACQUET FREDERIQUE,,(Updated,10/10/2023 13,17),,,
2023-10-27:,11:30:00,13:30:00,Math-Signal1,TDB,A5bis,1ATDB,COURSIMAULT DAVID,,(Updated,23/10/2023 18,04),,,
2024-01-11:,12:30:00,14:30:00,SAE15,TDA-PT,"B6,C5",1ATDA,,(Updated,27/11/2023 16,19),,,,
2023-12-18:,14:30:00,16:30:00,Anglais1,TP3,B2,1ATP3,BEIGNON D AGOSTINO LAURE,,(Updated,09/11/2023 16,59),,,
2023-12-01:,08:00:00,11:00:00,Telecom1,TP4,C1,1ATP4,CAPALLERA FLORENCE,,(Updated,20/11/2023 10,14),,,
2023-09-29:,06:00:00,09:00:00,Init-Rés1,TP3,B8,1ATP3,DELOS HUGO,,(Updated,20/11/2023 10,24),,,
2023-10-10:,08:00:00,10:00:00,Elec1,TDC,A8,1ATDC,CAPALLERA FLORENCE,,(Updated,28/09/2023 11,52),,,
2023-09-19:,13:30:00,15:30:00,Prog1,TDC,C5,1ATDC,PERRIOT ROMAIN,,(Updated,12/09/2023 16,45),,,
2024-01-10:,13:00:00,15:00:00,SAE12,TDA-PT,"B8,B6",1ATDA,,(Updated,27/11/2023 15,55),,,,
2023-11-17:,10:00:00,11:00:00,Soutien Télécoms,,"B8,A6",1ATDB,CAPALLERA FLORENCE,,(Updated,15/11/2023 16,02),,,
2024-01-19:,08:00:00,11:00:00,RLAN1,TP3,C1bis,1ATP3,HERNANDEZ SEBASTIEN,,(Updated,18/12/2023 10,25),,,
2023-10-02:,07:00:00,08:00:00,Elec1,Cours,A5-A5bis,1A,CAPALLERA FLORENCE,,(Updated,25/08/2023 12,07),,,
2024-01-29:,14:30:00,16:30:00,Math-Num2,TDB,A5bis,1ATDB,COURSIMAULT DAVID,,(Updated,09/01/2024 10,22),,,
2023-09-26:,15:30:00,17:30:00,Soutien math/info,,"A5bis,C5",1ATDA,,(Updated,25/09/2023 13,15),,,,
2024-01-29:,13:30:00,14:30:00,Admin_Sys2,Cours,A5-A5bis,1A,HERNANDEZ SEBASTIEN,,(Updated,09/01/2024 09,58),,,
2023-11-21:,08:00:00,11:00:00,Elec1,TP3,B1bis,1ATP3,CAPALLERA FLORENCE,,(Updated,16/10/2023 18,23),,,
2023-11-30:,12:30:00,14:30:00,Math-Trans1,TDA,A5bis,1ATDA,COURSIMAULT DAVID,,(Updated,27/11/2023 10,58),,,
2024-01-12:,09:00:00,11:00:00,Prog1,TP3,B3,1ATP3,ZAYENE MARIEM,,(Updated,27/11/2023 16,17),,,
2023-12-19:,09:00:00,11:00:00,Anglais1,TP1,B2,1ATP1,BEIGNON D AGOSTINO LAURE,,(Updated,09/11/2023 16,58),,,
2023-10-20:,11:00:00,14:00:00,Init-Rés1,TP2,C1bis,1ATP2,HERNANDEZ SEBASTIEN,,(Updated,06/10/2023 16,43),,,
2023-11-30:,14:30:00,16:30:00,Prog1,TP3,B1bis,1ATP3,ZAYENE MARIEM,,(Updated,09/11/2023 15,39),,,
2023-10-19:,08:00:00,10:00:00,Init-Rés1,TDB,B8,1ATDB,HERNANDEZ SEBASTIEN,,(Updated,19/10/2023 11,08),,,
2023-11-29:,09:00:00,11:00:00,Prog1,TP5,C5,1ATP5,SIGURET ARNAUD,,(Updated,20/11/2023 10,42),,,
2024-01-15:,07:00:00,09:00:00,SAE15,TP1,C5,1ATP1,HABACHI OUSSAMA,,(Updated,08/01/2024 17,23),,,
2023-09-26:,06:00:00,08:00:00,Prog1,TDC,B1bis,1ATDC,PERRIOT ROMAIN,,(Updated,18/09/2023 13,47),,,
2023-12-04:,08:00:00,11:00:00,Telecom1,TP1,C1,1ATP1,CAPALLERA FLORENCE,,(Updated,15/11/2023 19,56),,,
2023-12-22:,09:00:00,11:00:00,RLAN1,TDB,B8,1ATDB,FREITAS ANTONIO,,(Updated,09/11/2023 17,08),,,
2023-10-17:,06:00:00,08:00:00,Math-Signal1,TDC,A6,1ATDC,BOUAYED AYMENE,,(Updated,10/10/2023 11,17),,,
2023-10-27:,08:00:00,10:00:00,Web1,TDA,B3,1ATDA,ZAYENE MARIEM,,(Updated,10/10/2023 13,16),,,
2023-10-03:,11:30:00,13:30:00,Math-Signal1,TDB,A5bis,1ATDB,COURSIMAULT DAVID,,(Updated,25/09/2023 13,08),,,
2023-11-20:,14:30:00,16:30:00,Prog1,TP1,B3,1ATP1,SIGURET ARNAUD,,(Updated,14/11/2023 10,28),,,
2023-11-15:,09:00:00,09:30:00,Information BDE,,A5-A5bis,1A,,(Updated,13/11/2023 09,41),,,,
2023-09-26:,15:30:00,17:30:00,Soutien math/info,,"A8,B8",1ATDC,,(Updated,25/09/2023 13,15),,,,
2023-10-27:,06:00:00,08:00:00,Math-Signal1,TDA,A8,1ATDA,MATAR HOUSSEIN,,(Updated,10/10/2023 13,11),,,
2023-12-12:,12:30:00,14:30:00,Prog1,TP1,B6,1ATP1,SIGURET ARNAUD,,(Updated,09/11/2023 16,20),,,
2024-01-30:,10:00:00,11:00:00,Télécoms2,Cours,A5-A5bis,1A,CAPALLERA FLORENCE,,(Updated,08/01/2024 17,51),,,
